-306589/1000000  78907/200000
-195251/1000000  459267/1000000
41713/125000  -374921/1000000
89639/200000  -44877/200000
-421237/1000000  -134729/500000
-50703/125000  146189/500000
121739/1000000  242607/500000
495689/1000000  72757/1000000
12751/31250  72413/250000
28316203/57005000  71533867/1140100000
109727/250000  -243951/1000000
-447731/1000000  44039/200000
-25081/62500  295947/1000000
-5801/25000  -220613/500000
-419721/1000000  67801/250000
-1897/10000  -92227/200000
-17619/200000  1969/4000
100091/200000  3453/125000
8337/40000  454741/1000000
-28247797/57005000  -70006133/1140100000
-15417/50000  393147/1000000
-51037/200000  -13407/31250
458913/1000000  -101857/500000
-58713/125000  -167839/1000000
-114553/250000  197083/1000000
-99633/200000  31971/1000000
480653/1000000  -141803/1000000
-28967/500000  9923/20000
146909/500000  -406213/1000000
-47623837/293605000  -2772115693/5872100000
174881/500000  358759/1000000
127267/1000000  48373/100000
100997/500000  -28579/62500
414951/1000000  280829/1000000
250299/500000  32711/1000000
-469593/1000000  168363/1000000
-193761/1000000  1439/3125
-318231/1000000  38447/100000
-101237/1000000  -489043/1000000
22612631/76885000  -621409741/1537700000
122299/250000  53907/500000
-20071/50000  -293563/1000000
68741/1000000  -494399/1000000
19853/125000  23729/50000
9747/50000  230317/500000
-199537/500000  -148613/500000
-26091/500000  497277/1000000
414363/1000000  -17589/62500
-301991/1000000  24831/62500
-13323891/76362500  -71453647/152725000
-144137/1000000  95637/200000
-442901/1000000  114151/500000
-97881/200000  11579/125000
413547/1000000  -283967/1000000
-134761/500000  -210757/500000
3603/25000  -478507/1000000
488801/1000000  -14187/125000
27231/125000  -451451/1000000
-115899/500000  -442679/1000000
13336109/76362500  71661353/152725000
-498813/1000000  -23547/1000000
52693/1000000  -124271/250000
425777/1000000  5287/20000
480741/1000000  -72647/500000
-223049/500000  55439/250000
-46187/125000  -336383/1000000
-435133/1000000  243751/1000000
-361437/1000000  -86059/250000
-236421/500000  -159389/1000000
-416862263/1096712500  713804029/2193425000
2533/8000  388369/1000000
-14309/200000  -494591/1000000
-65653/1000000  495949/1000000
-52309/125000  -272251/1000000
