853407/1000000  -21131/50000  -83549/1000000  -617613/1000000
-187983/250000  163831/1000000  6269/31250  110063/200000
-13553/100000  3019/10000  845209/1000000  373181/1000000
62937/200000  66219/100000  495837/1000000  74713/500000
-561429/1000000  -488881/1000000  10031/500000  311681/1000000
952579/1000000  -502209/1000000  -181809/500000  -244819/500000
-729313/1000000  -5093/12500  649051/1000000  -61369/125000
-25591/250000  538931/1000000  -21379/250000  -352299/1000000
6579/40000  557039/1000000  143193/250000  341513/500000
225111/1000000  34397/40000  510081/1000000  -89323/500000
2929/200000  10369/62500  -585551/1000000  -691693/1000000
540927/1000000  -19037/125000  -976497/1000000  222793/250000
194281/500000  -249323/1000000  -370559/500000  -283873/1000000
-458799/1000000  -57023/200000  35503/40000  423633/1000000
-38051/200000  -700761/1000000  469977/1000000  -163773/200000
16331/25000  -156257/200000  -399419/500000  -909957/1000000
172619/200000  -762681/1000000  574927/1000000  -33187/50000
865053/1000000  890717/1000000  703223/1000000  -55707/200000
-922279/1000000  286619/500000  33123/62500  -7197/25000
-676097/1000000  -544501/1000000  -33573/500000  1147/40000
-5031/50000  -51231/100000  -58771/200000  410413/1000000
780589/1000000  16381/250000  846183/1000000  -379851/1000000
-18363/25000  129993/1000000  -509449/1000000  33303/62500
-653629/1000000  -53897/1000000  -19709/125000  778709/1000000
289673/500000  3769/15625  120641/500000  -270113/1000000
-722053/1000000  41099/250000  769621/1000000  57903/500000
38181/500000  317573/500000  -573557/1000000  285227/500000
-660729/1000000  -132461/250000  -165559/1000000  -79741/1000000
-202221/250000  277183/500000  663573/1000000  367381/1000000
-49629/200000  598931/1000000  223277/250000  -519923/1000000
-749289/1000000  -201101/500000  40249/125000  109559/500000
128261/1000000  614413/1000000  -323331/500000  125979/200000
-731231/1000000  -55437/500000  45863/500000  -1183/25000
130739/500000  -558557/1000000  3247/500000  47679/125000
-56451/200000  421403/1000000  316359/500000  -408437/1000000
-681773/1000000  185727/250000  742991/1000000  425523/1000000
-369823/1000000  -17133/1000000  -55241/125000  -1841/500000
855451/1000000  5521/200000  633303/1000000  196997/200000
387233/1000000  -752703/1000000  -217081/500000  -166667/500000
380819/1000000  -964683/1000000  -102911/125000  -82409/100000
262407/1000000  -11937/100000  -64029/1000000  533181/1000000
822441/1000000  195411/1000000  124951/500000  377547/500000
55763/1000000  -58501/250000  -159043/200000  -217741/500000
-435717/500000  209289/250000  120571/500000  222019/250000
-107363/250000  656229/1000000  -34589/250000  176867/500000
90107/1000000  330773/500000  207053/250000  -1739/200000
51019/100000  -219279/500000  977999/1000000  55401/200000
-338407/500000  -773287/1000000  86071/250000  97273/200000
